Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19
2743463;Den Oord;Den Oord;Oord;5197083;527083;P;PPL;NL;;9;352;;;0;;3;Europe/Amsterdam;03/06/2007
2743465;Drijberse Veld;Drijberse Veld;Drijbersche Veld,Drijberse Veld;5277077;654501;L;LCTY;NL;;1;1731;;;0;;12;Europe/Amsterdam;16/08/2017
2743466;Delfshavensche Schie;Delfshavensche Schie;De Schie,Delfshavensche Schie,Delfshavense Schie,Schie;5190172;445371;H;STMC;NL;;11;;;;0;;-3;Europe/Amsterdam;17/01/2012
2743467;Aa;Aa;A,Aa,De Aa Riviere,De Aa Rivière,L'Aa,Leie,Leij,L’Aa,Run;5165;531667;H;STM;NL;BE;0;;;;0;;4;Europe/Amsterdam;06/03/2014
2743468;Zwormertorenbrug;Zwormertorenbrug;;5223333;621667;S;BDG;NL;;15;150;;;0;;14;Europe/Amsterdam;04/06/2011
2743469;Zwolse Tocht;Zwolse Tocht;;5252694;577261;H;CNL;NL;;16;;;;0;;-2;Europe/Amsterdam;19/04/2011
2743470;Zwolse Hoek;Zwolse Hoek;Zwolschehoek,Zwolse Hoek;5261513;564942;T;PT;NL;;16;303;;;0;;2;Europe/Amsterdam;14/04/2012
2743471;Zwolse Brug;Zwolse Brug;;5230324;572288;S;BDG;NL;;3;233;;;0;;21;Europe/Amsterdam;04/06/2011
2743472;Boswachterij Zwolse Bos;Boswachterij Zwolse Bos;Boswachterij Zwolse Bos,Zwolsche Bosch;524221;602838;L;PRK;NL;;3;246;;;0;;37;Europe/Amsterdam;16/08/2017
2743473;Zwolsche Vaart;Zwolsche Vaart;Zwolsche Vaart,Zwolse Vaart;5270769;576808;H;CNL;NL;;16;;;;0;;-3;Europe/Amsterdam;17/01/2012
2743474;Zwolsche Diep;Zwolsche Diep;'t Zwolse Diep,Zwolsche Diep,Zwolse Diep,’t Zwolse Diep;5263645;602274;H;CHNN;NL;;0;;;;0;;-3;Europe/Amsterdam;12/12/2010
2743475;Zwolle-IJsselkanaal;Zwolle-IJsselkanaal;;5251687;606394;H;CNL;NL;;15;;;;0;;0;Europe/Amsterdam;24/04/2009
2743476;Gemeente Zwolle;Gemeente Zwolle;Zwolle;5251264;609359;A;ADM2;NL;;15;193;;;129840;;9;Europe/Amsterdam;26/10/2025
2743477;Zwolle;Zwolle;Gemeen Zwolle,Svolla,Swol,Zvole,Zvolle,Zvolė,Zwolle,ci wo lei,jeubolleo,jhvola,s wol lex,zfwlh,zi wo lei,zuvuore,zvole,zwwlh,Зволе,Зволле,Զվոլե,زفوله,زولے,زووله,झ्वोला,ซโวลเลอ,ზვოლე,ズヴォレ,兹沃勒,즈볼러;525125;609444;P;PPLA;NL;;15;193;;;129840;;9;Europe/Amsterdam;04/08/2025
2743478;Zwolle;Zwolle;Zvolle,Zwolle,Зволле;5203167;665556;P;PPL;NL;;3;1859;;;65;;30;Europe/Amsterdam;11/02/2021
2743479;Zwinpolder;Zwinpolder;;5132018;339627;T;PLDR;NL;;10;;;;0;;2;Europe/Amsterdam;19/04/2011
2743480;Zwingelspaan;Zwingelspaan;;5166;449583;P;PPL;NL;;6;1709;;;120;;-2;Europe/Amsterdam;24/03/2017
2743481;Zwindersche Veld;Zwindersche Veld;;5271672;663732;V;HTH;NL;;1;;;;0;;13;Europe/Amsterdam;19/04/2011
2743482;Zwinderen;Zwinderen;;5272667;667639;P;PPL;NL;;1;109;;;260;;17;Europe/Amsterdam;17/10/2017
2743483;Zwinbrug;Zwinbrug;;5131667;34;S;BDG;NL;;10;1714;;;0;;1;Europe/Amsterdam;04/06/2011
2743484;Zwin;Zwin;;5311247;579512;H;CNL;NL;;2;;;;0;;-4;Europe/Amsterdam;17/08/2009
2743485;Zwin;Zwin;;5295856;503814;H;CHNM;NL;;7;;;;0;;-9999;Europe/Amsterdam;19/04/2011
2743486;Zwilbroek;Zwilbroek;;5205;668333;L;PRK;NL;;3;1859;;;0;;28;Europe/Amsterdam;16/08/2017
2743487;Zwilbroek;Zwilbroek;;5205384;66925;P;PPL;NL;;3;1859;;;0;;32;Europe/Amsterdam;19/04/2011
2743488;Zwijnstocht;Zwijnstocht;;5262588;586181;H;CNL;NL;;16;;;;0;;-3;Europe/Amsterdam;19/04/2011
2743489;Zwijnsbergen;Zwijnsbergen;;5152667;550694;P;PPL;NL;;6;1948;;;0;;13;Europe/Amsterdam;16/08/2017
2743490;Zwijnsbergen;Zwijnsbergen;;5164222;522194;S;EST;NL;;6;865;;;0;;10;Europe/Amsterdam;06/07/2021
2743491;Zwijnmaden;Zwijnmaden;;5309162;66339;L;LCTY;NL;;1;1730;;;0;;2;Europe/Amsterdam;16/08/2017
2743492;Gemeente Zwijndrecht;Gemeente Zwijndrecht;Gemeente Zwijndrecht,Zwijndrecht;5182399;461258;A;ADM2;NL;;11;642;;;44775;;-2;Europe/Amsterdam;31/01/2023
2743493;Zwijndrecht;Zwijndrecht;Zuindracum,Zvayndrext,Zvejndrekht,Zvejndrekhte,Zwijndrecht,ci wei en de lei he te,zfayndrykht,Звейндрехт,Звейндрехте,Զվայնդրեխտ,زفايندريخت,兹韦恩德雷赫特;518175;463333;P;PPL;NL;;11;642;;;45696;;0;Europe/Amsterdam;17/10/2017
2743494;Zwiggelterveld;Zwiggelterveld;;5289822;660482;L;LCTY;NL;;1;1731;;;0;;28;Europe/Amsterdam;16/08/2017
2743495;Zwiggelte;Zwiggelte;;5287167;658611;P;PPL;NL;;1;1731;;;220;;17;Europe/Amsterdam;17/10/2017
2743496;Zwiepsche Broek;Zwiepsche Broek;;5213954;647009;L;LCTY;NL;;3;262;;;0;;13;Europe/Amsterdam;16/08/2017
2743497;Zwiep;Zwiep;;5214949;64461;P;PPL;NL;;3;262;;;65;;15;Europe/Amsterdam;24/03/2017
2743498;Zwetterbrug;Zwetterbrug;;5261667;49;S;BDG;NL;;7;1598;;;0;;-4;Europe/Amsterdam;04/06/2011
2743499;Polder de Zwettepoel;Polder de Zwettepoel;;5298333;576667;T;PLDR;NL;;2;;;;0;;-1;Europe/Amsterdam;08/01/1994
2743501;Zwette;Zwette;Sneek Naar Leeuwarden,Sneek-Leeuward Waterway,Sneeker Trekvaart,Sneeker Vaart,Swette Vaart,Trekvaart van Sneek naar Leeuwarden,Zwette,Zwette Canal,Zwettevaart;5308034;570336;H;CNL;NL;;2;;;;0;;-3;Europe/Amsterdam;12/12/2010
2743502;Zwetpolder;Zwetpolder;;521823;463936;T;PLDR;NL;;11;;;;0;;-5;Europe/Amsterdam;19/04/2011
2743503;Zwethoeve;Zwethoeve;;5218333;463333;S;FRM;NL;;11;1884;;;0;;-3;Europe/Amsterdam;04/06/2011
2743504;Zwethkanaal;Zwethkanaal;De Zwet,Zweth,Zwethkanaal,Zwetkanaal;5201667;435;H;CNL;NL;;11;;;;0;;3;Europe/Amsterdam;17/01/2012
2743505;Zweth;Zweth;De Zwet,De Zweth,Zwet;5196167;439444;P;PPL;NL;;11;599;;;0;;0;Europe/Amsterdam;03/06/2007
2743506;Zwet;Zwet;;51865;455972;P;PPL;NL;;11;597;;;0;;-3;Europe/Amsterdam;03/06/2007
2743507;Zweins;Zweins;Sweins,Swyns,Zvejns,Zweins,zwyns,Звейнс,زوینس;5318953;560689;P;PPL;NL;;2;1949;;;110;;0;Europe/Amsterdam;20/01/2019
2743508;Zweelooërveld;Zweelooerveld;;5281726;673852;L;LCTY;NL;;1;109;;;0;;16;Europe/Amsterdam;16/08/2017
2743510;Zweeloo;Zweeloo;Zweelo;52795;673056;P;PPL;NL;;1;109;;;345;;20;Europe/Amsterdam;17/10/2017
2743511;Zweekhorst;Zweekhorst;;5196167;6075;P;PPL;NL;;3;299;;;0;;9;Europe/Amsterdam;03/06/2007
2743512;Zwartwoude;Zwartwoude;;5344472;583395;L;LCTY;NL;;2;60;;;0;;0;Europe/Amsterdam;16/08/2017
2743513;Zwart Water;Zwart Water;Venkoelen,Zwart Water;5140228;618792;H;LK;NL;;5;;;;0;;20;Europe/Amsterdam;17/01/2012
2743514;Zwartven;Zwartven;;513739;510937;H;PND;NL;;6;;;;0;;32;Europe/Amsterdam;10/10/2009
2743515;Zwartven;Zwartven;;5150849;473123;L;LCTY;NL;;6;879;;;0;;8;Europe/Amsterdam;16/08/2017
2743516;Zwartsluisje;Zwartsluisje;;517725;432778;P;PPL;NL;;11;1963;;;0;;-2;Europe/Amsterdam;20/01/2019
2743518;Zwartsluis;Zwartsluis;;5264083;606944;P;PPL;NL;;15;1896;;;4890;;1;Europe/Amsterdam;23/07/2025
2743519;Zwartschaap;Zwartschaap;Zwartschap;5275833;650556;P;PPL;NL;;1;118;;;0;;13;Europe/Amsterdam;03/06/2007
2743520;Zwart Moerken;Zwart Moerken;;5153997;47099;L;LCTY;NL;;6;879;;;0;;6;Europe/Amsterdam;16/08/2017
2743521;Zwarte Woude;Zwarte Woude;;5292955;547903;H;COVE;NL;;2;;;;0;;-2;Europe/Amsterdam;19/04/2011
2743522;Zwarte Wiel;Zwarte Wiel;;5155857;430007;H;PND;NL;;6;;;;0;;4;Europe/Amsterdam;19/04/2011
2743523;Zwarteweg;Zwarteweg;;5246822;590957;P;PPL;NL;;3;269;;;0;;1;Europe/Amsterdam;26/12/2008
2743524;Zwartewatersklooster;Zwartewatersklooster;;5261917;610556;P;PPL;NL;;15;1896;;;0;;1;Europe/Amsterdam;03/06/2007
2743525;Zwarte Water;Zwarte Water;;5263327;606016;H;STM;NL;;15;;;;0;;1;Europe/Amsterdam;12/12/2010
2743526;Zwarte Water;Zwarte Water;;5298383;671784;H;LK;NL;;1;;;;0;;16;Europe/Amsterdam;19/04/2011
2743528;Zwartewaal;Zwartewaal;;5188333;422083;P;PPL;NL;;11;1992;;;615;;-1;Europe/Amsterdam;30/01/2025
2743529;Zwarte Venen;Zwarte Venen;;5265;625;V;HTH;NL;;15;;;;0;;2;Europe/Amsterdam;08/01/1994
2743530;Zwarte Ven;Zwarte Ven;;5144763;435197;L;LCTY;NL;;6;873;;;0;;19;Europe/Amsterdam;16/08/2017
2743531;Zwarte Veld;Zwarte Veld;;5233905;454361;L;PRK;NL;;7;473;;;0;;10;Europe/Amsterdam;16/08/2017
2743532;Zwarte Veen;Zwarte Veen;;51962;652268;L;RESN;NL;;3;;;;0;;18;Europe/Amsterdam;19/04/2011
2743533;Swarte Sleat;Swarte Sleat;;5300564;581477;H;CNL;NL;;2;;;;0;;-1;Europe/Amsterdam;17/08/2009
2743534;Zwarte Ruiter;Zwarte Ruiter;;515907;428862;P;PPL;NL;;6;851;;;0;;0;Europe/Amsterdam;02/05/2008
2743535;Zwarte Polder;Zwarte Polder;;5138333;345;T;PLDR;NL;;10;;;;0;;1;Europe/Amsterdam;08/01/1994
2743536;Polder het Zwarte Paard;Polder het Zwarte Paard;;5299234;566125;T;PLDR;NL;;2;;;;0;;-3;Europe/Amsterdam;19/04/2011
2743537;Zwarte Paard;Zwarte Paard;Het Zwarte Paard,Zwarte Paard;5195062;545036;P;PPL;NL;;3;214;;;125;;5;Europe/Amsterdam;03/03/2026
2743538;Zwartenhoek;Zwartenhoek;;5125052;385673;P;PPL;NL;;10;715;;;0;;4;Europe/Amsterdam;19/04/2011
2743539;Zwartendijksterschans;Zwartendijksterschans;;530848;63534;S;FT;NL;;1;1699;;;0;;7;Europe/Amsterdam;04/06/2011
2743540;Zwartendijk;Zwartendijk;;5253129;590507;P;PPL;NL;;15;166;;;0;;2;Europe/Amsterdam;08/09/2009
2743541;Zwartenbergsche Polder;Zwartenbergsche Polder;;5162108;464967;T;PLDR;NL;;6;;;;0;;-1;Europe/Amsterdam;19/04/2011
2743542;Zwartenberg;Zwartenberg;;5162668;463756;P;PPL;NL;;6;777;;;0;;4;Europe/Amsterdam;01/02/2008
2743543;Zwartemeertocht;Zwartemeertocht;;5264127;592223;H;CNL;NL;;16;;;;0;;-4;Europe/Amsterdam;19/04/2011
2743544;Zwartemeer;Zwartemeer;;5271917;704167;P;PPL;NL;;1;114;;;0;;18;Europe/Amsterdam;17/10/2017
2743545;Zwarte Meer;Zwarte Meer;;5305;611667;H;MRSH;NL;;2;;;;0;;-1;Europe/Amsterdam;08/01/1994
2743546;Zwarte Meer;Zwarte Meer;;5263032;595434;H;LK;NL;;0;;;;0;;-3;Europe/Amsterdam;19/04/2011
2743547;Zwarte Kolk;Zwarte Kolk;;5244102;608501;H;PND;NL;;3;;;;0;;7;Europe/Amsterdam;01/09/2009
2743548;Zwarteklef;Zwarteklef;;5154241;596665;P;PPLL;NL;;5;984;;;0;;20;Europe/Amsterdam;02/05/2008
2743549;Zwarte Horst;Zwarte Horst;Zwarte Horst,Zwarte-Horstweijer;5126993;526038;L;PRK;NL;;6;1724;;;0;;38;Europe/Amsterdam;16/08/2017
2743550;Zwarte Hoek;Zwarte Hoek;;5263333;596667;T;PT;NL;;16;;;;0;;-3;Europe/Amsterdam;10/06/1999
2743551;Zwarte Hoek;Zwarte Hoek;Groene Punt,Zwarte Hoek;5188733;403013;T;PT;NL;;11;;;;0;;-9999;Europe/Amsterdam;17/01/2012
2743552;Vaarwater van de Zwarte Haan;Vaarwater van de Zwarte Haan;;5333427;560409;H;CHNM;NL;;2;;;;0;;-9999;Europe/Amsterdam;19/04/2011
2743553;Zwarte Haan;Zwarte Haan;Swarte Haan,Zwarte Haan;5330852;562672;P;PPLL;NL;;2;1949;;;0;;-2;Europe/Amsterdam;20/01/2019
2743554;Zwarte Goor;Zwarte Goor;;5237667;574722;P;PPL;NL;;3;302;;;0;;3;Europe/Amsterdam;03/06/2007
2743555;Zwartegatsche Kreek;Zwartegatsche Kreek;;5139465;349354;H;STM;NL;;10;;;;0;;0;Europe/Amsterdam;19/04/2011
2743556;Zwarte Gat;Zwarte Gat;;5173537;408249;H;STM;NL;;11;;;;0;;-2;Europe/Amsterdam;10/01/2011
2743557;Zwarte Gat;Zwarte Gat;;5246667;656667;P;PPLL;NL;;15;1700;;;0;;9;Europe/Amsterdam;02/05/2008
2743558;Zwarte Gat;Zwarte Gat;;5139492;349331;H;PND;NL;;10;;;;0;;0;Europe/Amsterdam;10/01/2011
2743559;Zwarte Duin;Zwarte Duin;;5140037;437383;T;DUNE;NL;;6;;;;0;;27;Europe/Amsterdam;19/04/2011
2743560;Zwarte Dennen;Zwarte Dennen;De Zwarte Dennen,Zwarte Dennen;5262297;626687;V;HTH;NL;;15;;;;0;;10;Europe/Amsterdam;17/01/2012
2743561;Zwartebroek;Zwartebroek;;5217917;550417;P;PPL;NL;;3;203;;;775;;6;Europe/Amsterdam;17/10/2017
2743562;Zwarte Brekken;Zwarte Brekken;;5300414;566534;H;LK;NL;;2;;;;0;;-5;Europe/Amsterdam;12/12/2010
2743563;Zwarte Blik;Zwarte Blik;;5152242;460323;L;LCTY;NL;;6;840;;;0;;10;Europe/Amsterdam;16/08/2017
2743564;Zwarte Bergen;Zwarte Bergen;;5165;601667;V;HTH;NL;;5;;;;0;;15;Europe/Amsterdam;08/01/1994
2743565;Zwarte Berg;Zwarte Berg;Zwarte Berg;5233179;57457;T;HLL;NL;;3;302;;;0;;32;Europe/Amsterdam;04/12/2018
2743566;Zwarte Berg;Zwarte Berg;Zwarte Berg;5218989;517099;T;HLL;NL;;7;402;;;0;;25;Europe/Amsterdam;04/12/2018
2743567;Zwarte Berg;Zwarte Berg;Zwarte Berg;5207486;595625;T;HLL;NL;;3;200;;;0;;80;Europe/Amsterdam;04/12/2018
2743568;Zwarte Beek;Zwarte Beek;;518789;641863;H;STM;NL;;3;;;;0;;14;Europe/Amsterdam;11/12/2009
2743569;Zwanewaterduinen;Zwanewaterduinen;;5345592;57306;T;DUNE;NL;;2;;;;0;;1;Europe/Amsterdam;19/04/2011
2743570;Zwanenwater;Zwanenwater;;5281881;469799;H;LKS;NL;;7;;;;0;;2;Europe/Amsterdam;19/04/2011
2743571;Zwanentocht;Zwanentocht;;5246166;554707;H;CNL;NL;;16;;;;0;;-6;Europe/Amsterdam;10/01/2011
2743573;Zwanendiep;Zwanendiep;;5264877;598809;H;CHN;NL;;16;;;;0;;-3;Europe/Amsterdam;08/07/2020
2743574;Zwanenburg;Zwanenburg;;5238;474583;P;PPL;NL;;7;394;;;7935;;-3;Europe/Amsterdam;10/12/2025
2743575;Zwanenbalg;Zwanenbalg;;5314817;530143;H;SHOL;NL;;2;;;;0;;-9999;Europe/Amsterdam;19/04/2011
2743576;Zwanekreek;Zwanekreek;;5126567;400907;H;STM;NL;;10;;;;0;;-1;Europe/Amsterdam;10/01/2011
2743577;Zwanegat;Zwanegat;;5179083;451667;P;PPL;NL;;11;1963;;;0;;-2;Europe/Amsterdam;20/01/2019
2743578;Zwammerdam;Zwammerdam;;5210583;472639;P;PPL;NL;;11;484;;;0;;1;Europe/Amsterdam;17/10/2017
2743579;Zwaluwmoer;Zwaluwmoer;;5140228;436634;H;PND;NL;;6;;;;0;;19;Europe/Amsterdam;27/11/2009
2743580;Zwaluwetocht;Zwaluwetocht;;5334005;635819;H;CNL;NL;;4;;;;0;;-2;Europe/Amsterdam;19/04/2011
2743581;Zwaluwenburg;Zwaluwenburg;;5243208;58831;S;EST;NL;;3;230;;;0;;5;Europe/Amsterdam;04/06/2011
2743582;Zwalm;Zwalm;;5199698;607813;H;STM;NL;;3;;;;0;;9;Europe/Amsterdam;19/04/2011
2743583;Zwagerveen;Zwagerveen;;5326285;608445;P;PPL;NL;;2;1970;;;0;;3;Europe/Amsterdam;20/01/2019
2743584;Zwagermieden;Zwagermieden;;5328297;605477;L;LCTY;NL;;2;1970;;;0;;-3;Europe/Amsterdam;20/01/2019
2743585;Sweagerbosk;Sweagerbosk;;5324817;604746;P;PPL;NL;;2;1970;;;585;;2;Europe/Amsterdam;23/09/2024
2743586;Zwaanwijck;Zwaanwijck;Zwaanswijck,Zwaanwijck;5228333;505;S;EST;NL;;9;1904;;;0;;-1;Europe/Amsterdam;14/04/2012
2743587;Zwaantje;Zwaantje;;518575;456806;P;PPL;NL;;11;597;;;0;;0;Europe/Amsterdam;03/06/2007
2743588;Zwaanshoek;Zwaanshoek;Zvansguk,Zvanshukas,Zwaanshoek,Звансгук,زوانس‌هوک;523125;461667;P;PPL;NL;;7;394;;;1455;;-3;Europe/Amsterdam;17/10/2017
2743589;Zwaak;Zwaak;;515;4;L;LCTY;NL;;10;678;;;0;;-4;Europe/Amsterdam;16/08/2017
2743590;De Westereen;De Westereen;De Vesterynas,De Westereen,De Westerein,De-Vesteren,dy fystryn,wstryn,Де-Вестерен,دى فيسترين,دي فيسترين,وسترین;5325731;60363;P;PPL;NL;;2;1891;;;5030;;2;Europe/Amsterdam;06/11/2023
2743591;Zwaagstergaasten;Zwaagstergaasten;;5305;608333;L;LCTY;NL;;2;86;;;0;;17;Europe/Amsterdam;16/08/2017
2743592;Zwaagdijk-West;Zwaagdijk-West;Zwaagdijk-West,zwagdayk-wst,زواگدایک-وست;52675;505417;P;PPL;NL;;7;420;;;585;;0;Europe/Amsterdam;17/10/2017
2743593;Zwaagdijk-Oost;Zwaagdijk-Oost;Zwaagdijk;527075;514028;P;PPL;NL;;7;420;;;1240;;-2;Europe/Amsterdam;17/10/2017
2743595;Zwaag;Zwaag;;5266917;507639;P;PPL;NL;;7;405;;;0;;0;Europe/Amsterdam;17/10/2017
2743596;Zuylenstein;Zuylenstein;Zuilenstein;5200134;544321;S;CSTL;NL;;9;1581;;;0;;16;Europe/Amsterdam;04/06/2011
2743597;Slot Zuylen;Slot Zuylen;;5212717;507311;S;CSTL;NL;;9;1904;;;0;;3;Europe/Amsterdam;14/04/2012
2743598;Zuydwijk;Zuydwijk;Zuidwijk,Zuydwijk;5214454;442496;L;PRK;NL;;11;629;;;0;;7;Europe/Amsterdam;16/08/2017
2743599;Zuurvenspolder;Zuurvenspolder;;5266812;473802;T;PLDR;NL;;7;;;;0;;0;Europe/Amsterdam;19/04/2011
2743600;Zuursche Landen;Zuursche Landen;;5308679;654046;L;LCTY;NL;;1;1730;;;0;;3;Europe/Amsterdam;16/08/2017
2743601;Zuursche Duinen;Zuursche Duinen;Zuursche Duinen,Zuurse Duinen;5309716;639663;T;DUNE;NL;;1;;;;0;;11;Europe/Amsterdam;17/01/2012
2743602;Zuurdijk;Zuurdijk;;5333833;637639;P;PPL;NL;;4;1966;;;100;;1;Europe/Amsterdam;20/01/2019
2743603;Zuurberg;Zuurberg;Zuurberg;5226965;643612;T;HLL;NL;;15;1742;;;0;;24;Europe/Amsterdam;04/12/2018
2743604;Zuurbeek;Zuurbeek;;5267685;59848;P;PPLL;NL;;15;1708;;;0;;2;Europe/Amsterdam;02/05/2008
2743605;Zuuk;Zuuk;;5233417;600278;P;PPL;NL;;3;232;;;0;;9;Europe/Amsterdam;03/06/2007
2743606;Zutphen Boer;Zutphen Boer;;522;613333;L;PRK;NL;;3;285;;;0;;10;Europe/Amsterdam;16/08/2017
2743607;Gemeente Zutphen;Gemeente Zutphen;Gemeente Zutphen,Zutphen;5213145;623132;A;ADM2;NL;;3;301;;;47537;;8;Europe/Amsterdam;19/01/2019
2743608;Zutphen;Zutphen;Cutfen,Gemeen Zutfent,Sutfen,Zjutfehn,Zjutfen,Zoutfen,Zutfen,Zutfent,Zutphania,Zutphen,ju te fen,jwispeon,zutofen,zwtfn,zwtpn,Ζούτφεν,Зутфен,Зютфен,Зютфэн,Цутфен,Զուտֆեն,זוטפן,زوتفن,ズトフェン,聚特芬,쥣펀;5213833;620139;P;PPL;NL;;3;301;;;36188;;10;Europe/Amsterdam;21/11/2022
2743609;Susterfeart;Susterfeart;Susterfeart,Zustervaart;5313333;596667;H;CNL;NL;;2;;;;0;;-2;Europe/Amsterdam;23/10/2008
2743610;Zuricherpolder;Zuricherpolder;;5310003;539511;T;PLDR;NL;;2;;;;0;;-2;Europe/Amsterdam;19/04/2011
2743611;Zurich;Zurich;Surig;5311134;539437;P;PPL;NL;;2;1900;;;145;;2;Europe/Amsterdam;17/10/2017
2743612;Zurenhoek;Zurenhoek;;515443;434906;L;LCTY;NL;;6;1674;;;0;;-2;Europe/Amsterdam;16/08/2017
2743613;Zurendonk;Zurendonk;;515136;460475;L;LCTY;NL;;6;840;;;0;;10;Europe/Amsterdam;16/08/2017
2743614;Zure Maden;Zure Maden;;5153934;437809;L;LCTY;NL;;6;1674;;;0;;2;Europe/Amsterdam;16/08/2017
2743615;Zure Heide;Zure Heide;;5148269;437775;L;LCTY;NL;;6;1674;;;0;;9;Europe/Amsterdam;16/08/2017
2743616;Zuppeld;Zuppeld;;5238929;602556;P;PPLX;NL;;3;246;;;0;;12;Europe/Amsterdam;04/06/2011
2743617;Zundertsche Schijf;Zundertsche Schijf;;5150228;457735;L;LCTY;NL;;6;840;;;0;;12;Europe/Amsterdam;16/08/2017
2743618;Gemeente Zundert;Gemeente Zundert;Gemeente Zundert,Zundert;5147352;46418;A;ADM2;NL;;6;879;;;21988;;7;Europe/Amsterdam;31/01/2023
2743619;Zundert;Zundert;Groot Zundert,Zjundert,Зюндерт;5147167;465556;P;PPL;NL;;6;879;;;6835;;11;Europe/Amsterdam;17/10/2017
2743620;Zunderdorp;Zunderdorp;;5240667;496528;P;PPL;NL;;7;363;;;430;;0;Europe/Amsterdam;24/03/2017
2743621;Zunasche Heide;Zunasche Heide;;5233321;648055;V;HTH;NL;;15;;;;0;;10;Europe/Amsterdam;19/04/2011
2743622;Zuna;Zuna;;5233417;650278;P;PPL;NL;;15;189;;;0;;11;Europe/Amsterdam;17/10/2017
2743623;Zulkwartier;Zulkwartier;;521614;452537;P;PPLX;NL;;11;547;;;0;;0;Europe/Amsterdam;04/06/2011
2743624;Zuilichem;Zuilichem;Zuelichem;5180917;513611;P;PPL;NL;;3;297;;;1245;;3;Europe/Amsterdam;17/10/2017
2743625;Zuilespolder;Zuilespolder;;5180703;477161;T;PLDR;NL;;11;;;;0;;-2;Europe/Amsterdam;19/04/2011
2743626;Zuilensteinse Bos;Zuilensteinse Bos;Zuilensteinsche Bosch,Zuilensteinse Bos;5201821;545103;V;FRST;NL;;9;;;;0;;45;Europe/Amsterdam;17/01/2012
2743627;Zuilenburg;Zuilenburg;;5199194;538583;S;CSTL;NL;;9;352;;;0;;6;Europe/Amsterdam;04/06/2011
2743628;Zuilen;Zuilen;Zuilen;5210884;509084;P;PPLX;NL;;9;344;;;0;;2;Europe/Amsterdam;21/02/2019
2743629;Zuidzijderpolder;Zuidzijderpolder;;5207337;476978;T;PLDR;NL;;11;;;;0;;-1;Europe/Amsterdam;19/04/2011
2743630;Zuidzijde;Zuidzijde;;5208;477222;P;PPL;NL;;11;1901;;;655;;-1;Europe/Amsterdam;24/03/2017
2743631;Zuidzijde;Zuidzijde;;5178167;436528;P;PPL;NL;;11;1963;;;0;;-1;Europe/Amsterdam;20/01/2019
2743632;Zuidzijde;Zuidzijde;;5170083;425833;P;PPL;NL;;11;1924;;;0;;2;Europe/Amsterdam;09/06/2013
2743633;Zuidzandepolder;Zuidzandepolder;;5135273;345029;T;PLDR;NL;;10;;;;0;;0;Europe/Amsterdam;19/04/2011
2743634;Zuidzande;Zuidzande;;5134083;345278;P;PPL;NL;;10;1714;;;435;;2;Europe/Amsterdam;17/10/2017
2743636;Zuidwolde;Zuidwolde;;532625;659167;P;PPL;NL;;4;1966;;;915;;-1;Europe/Amsterdam;20/01/2019
2743637;Zuidwolde;Zuidwolde;ze yi de wo er de,泽伊德沃尔德;5267167;642778;P;PPL;NL;;1;1690;;;0;;9;Europe/Amsterdam;17/10/2017
2743639;Zuidwijken;Zuidwijken;;521238;619935;P;PPLX;NL;;3;301;;;0;;9;Europe/Amsterdam;19/04/2011
2743640;Zuidwijk;Zuidwijk;Zuidwijk;5187532;448514;P;PPLX;NL;;11;599;;;12490;;0;Europe/Amsterdam;24/03/2017
2743641;Zuidwesterpolder;Zuidwesterpolder;;5326579;557265;T;PLDR;NL;;2;;;;0;;-2;Europe/Amsterdam;19/04/2011
2743642;Polder de Zuidwending;Polder de Zuidwending;Polder de Zuidwending;5322248;647849;T;PLDR;NL;;4;;;;0;;-2;Europe/Amsterdam;09/04/2021
2743643;Zuidwending;Zuidwending;;5309583;693472;P;PPL;NL;;4;47;;;410;;3;Europe/Amsterdam;24/03/2017
2743644;Zuidwending;Zuidwending;;5321102;646623;H;CNL;NL;;4;;;;0;;-2;Europe/Amsterdam;12/12/2010
2743645;Zuidweihoek;Zuidweihoek;;5155;415;L;LCTY;NL;;10;716;;;0;;-4;Europe/Amsterdam;16/08/2017
2743646;Zuidwal;Zuidwal;;5318361;501217;H;FLTT;NL;;0;;;;0;;-9999;Europe/Amsterdam;12/12/2010
2743647;Zuidwal;Zuidwal;;5297883;482849;H;FLTT;NL;;7;;;;0;;-9999;Europe/Amsterdam;13/12/2010
2743648;Zuid Vlije;Zuid Vlije;;5163815;423637;H;CHNM;NL;;6;;;;0;;-9999;Europe/Amsterdam;19/04/2011
2743649;Zuidvelde;Zuidvelde;Sudfjilde,Súdfjilde,Zejdvelde,Zuidvelde,zaydfldh,Зейдвелде,زایدفلده;5304583;645833;P;PPL;NL;;1;1699;;;80;;10;Europe/Amsterdam;17/10/2017
2743650;Zuidveld;Zuidveld;;5292833;715139;P;PPL;NL;;4;1950;;;0;;8;Europe/Amsterdam;20/01/2019
2743651;Zuidveld;Zuidveld;;5286667;663611;P;PPL;NL;;1;1731;;;75;;15;Europe/Amsterdam;17/10/2017
2743652;Zuidveen;Zuidveen;;527775;610694;P;PPL;NL;;15;1708;;;570;;2;Europe/Amsterdam;17/10/2017
2743653;Zuid Steenplaat;Zuid Steenplaat;;5299796;530326;H;SHOL;NL;;2;;;;0;;0;Europe/Amsterdam;19/04/2011
