Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19
6698733;Station Doetinchem-De Huet;Station Doetinchem-De Huet;;51959;625852;S;RSTN;NL;;3;222;;;0;;13;Europe/Amsterdam;04/06/2011
6698734;Station Doetinchem;Station Doetinchem;;5195839;629615;S;RSTN;NL;;3;222;;;0;;14;Europe/Amsterdam;04/06/2011
6698735;Station Gaanderen;Station Gaanderen;;5193112;63478;S;RSTN;NL;;3;222;;;0;;14;Europe/Amsterdam;04/06/2011
6698736;Station Terborg;Station Terborg;;5192181;636553;S;RSTN;NL;;3;1509;;;0;;13;Europe/Amsterdam;04/06/2011
6698737;Station Varsseveld;Station Varsseveld;;5193711;645818;S;RSTN;NL;;3;1509;;;0;;20;Europe/Amsterdam;04/06/2011
6698738;Station Aalten;Station Aalten;;5192135;657798;S;RSTN;NL;;3;197;;;0;;25;Europe/Amsterdam;04/06/2011
6698739;Station Winterswijk;Station Winterswijk;;5196741;671565;S;RSTN;NL;;3;294;;;0;;37;Europe/Amsterdam;02/01/2009
6698740;Station Winterswijk West;Station Winterswijk West;;5197474;670329;S;RSTN;NL;;3;294;;;0;;33;Europe/Amsterdam;04/06/2011
6698741;Station Lichtenvoorde-Groenlo;Station Lichtenvoorde-Groenlo;;5201223;659525;S;RSTN;NL;;3;1586;;;0;;25;Europe/Amsterdam;02/01/2009
6698742;Station Ruurlo;Station Ruurlo;;5208052;645071;S;RSTN;NL;;3;1859;;;0;;18;Europe/Amsterdam;04/06/2011
6698743;Station Vorden;Station Vorden;;5210709;63181;S;RSTN;NL;;3;1876;;;0;;11;Europe/Amsterdam;04/06/2011
6830985;Vijfhuizenberg;Vijfhuizenberg;;5152089;444371;P;PPLX;NL;;6;1674;;;205;;5;Europe/Amsterdam;24/03/2017
6843453;Riels Hoefke;Riels Hoefke;;515018;500839;L;RESN;NL;;6;785;;;0;;29;Europe/Amsterdam;05/01/2009
6843496;Halve Maan;Halve Maan;;5149218;502779;L;RESN;NL;;6;785;;;0;;27;Europe/Amsterdam;05/01/2009
6884781;Mercatorplein;Mercatorplein;;5236957;485096;S;SQR;NL;;7;363;;;0;;5;Europe/Amsterdam;14/04/2012
6884782;Rembrandtpark;Rembrandtpark;;5236278;484556;L;PRK;NL;;11;;;;0;;5;Europe/Amsterdam;04/10/2009
6884783;Erasmuspark;Erasmuspark;;5237489;485145;L;PRK;NL;;11;;;;0;;6;Europe/Amsterdam;06/01/2009
6884784;Sarphatipark;Sarphatipark;;523544;489633;L;PRK;NL;;11;;;;0;;4;Europe/Amsterdam;06/01/2009
